min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.2,3,10,3,22,2,5
0.2,4,2,0,5000,0,0
0.2,4,2,1,5000,0,0
0.2,4,2,2,5000,0,0
0.2,4,2,3,5000,0,0
0.2,4,3,0,5000,0,0
0.2,4,3,1,5000,0,0
0.2,4,3,2,5000,0,0
0.2,4,3,3,5000,0,0
0.2,4,4,0,4467,8,22
0.2,4,4,1,5000,8,19
0.2,4,4,2,5000,6,14
0.2,4,4,3,5000,0,0
0.2,4,5,0,2476,7,20
0.2,4,5,1,2669,7,20
0.2,4,5,2,2815,7,20
0.2,4,5,3,3429,7,20
0.2,4,6,0,2072,7,18
0.2,4,6,1,2101,7,18
0.2,4,6,2,2159,7,18
0.2,4,6,3,2316,7,18
0.2,4,7,0,316,7,15
0.2,4,7,1,497,7,16
0.2,4,7,2,924,7,17
0.2,4,7,3,1233,7,17
0.2,4,8,0,123,3,8
0.2,4,8,1,191,3,8
0.2,4,8,2,389,4,11
0.2,4,8,3,604,5,13
0.2,4,9,0,68,3,7
0.2,4,9,1,112,3,7
0.2,4,9,2,201,3,8
0.2,4,9,3,282,4,10
0.2,4,10,0,5,2,3
0.2,4,10,1,5,2,3
0.2,4,10,2,17,2,5
0.2,4,10,3,20,2,5
0.2,5,2,0,5000,0,0
0.2,5,2,1,5000,0,0
0.2,5,2,2,5000,0,0
0.2,5,2,3,5000,0,0
0.2,5,3,0,5000,0,0
0.2,5,3,1,5000,0,0
0.2,5,3,2,5000,0,0
0.2,5,3,3,5000,0,0
0.2,5,4,0,4462,8,22
0.2,5,4,1,5000,8,19
0.2,5,4,2,5000,6,14
0.2,5,4,3,5000,0,0
0.2,5,5,0,2476,7,20
0.2,5,5,1,2669,7,20
0.2,5,5,2,2815,7,20
0.2,5,5,3,3428,7,20
0.2,5,6,0,2072,7,18
0.2,5,6,1,2101,7,18
0.2,5,6,2,2159,7,18
0.2,5,6,3,2316,7,18
0.2,5,7,0,316,7,15
0.2,5,7,1,497,7,16
0.2,5,7,2,924,7,17
0.2,5,7,3,1233,7,17
