min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.2,5,3,2,5000,0,1
0.2,5,3,3,5000,0,1
0.2,5,4,0,5000,0,52
0.2,5,4,1,5000,0,35
0.2,5,4,2,5000,0,24
0.2,5,4,3,5000,0,8
0.2,5,5,0,5000,8,128
0.2,5,5,1,5000,1,97
0.2,5,5,2,5000,0,78
0.2,5,5,3,5000,0,70
0.2,5,6,0,1959,9,58
0.2,5,6,1,2283,10,60
0.2,5,6,2,3651,12,71
0.2,5,6,3,5000,3,73
0.2,5,7,0,1288,7,55
0.2,5,7,1,1423,8,56
0.2,5,7,2,2106,11,65
0.2,5,7,3,2874,11,84
0.2,5,8,0,362,6,26
0.2,5,8,1,469,7,29
0.2,5,8,2,1303,9,60
0.2,5,8,3,1768,9,77
0.2,5,9,0,185,4,15
0.2,5,9,1,249,5,17
0.2,5,9,2,788,6,39
0.2,5,9,3,990,6,42
0.2,5,10,0,140,4,14
0.2,5,10,1,183,4,15
0.2,5,10,2,555,5,33
0.2,5,10,3,583,5,33
0.3,1,2,0,5000,0,1
0.3,1,2,1,5000,0,0
0.3,1,2,2,5000,0,0
0.3,1,2,3,5000,0,0
0.3,1,3,0,5000,0,118
0.3,1,3,1,5000,0,117
0.3,1,3,2,5000,0,117
0.3,1,3,3,5000,0,114
0.3,1,4,0,5000,0,118
0.3,1,4,1,5000,0,117
0.3,1,4,2,5000,0,117
0.3,1,4,3,5000,0,114
0.3,1,5,0,3529,4,109
0.3,1,5,1,3673,4,111
0.3,1,5,2,4033,4,120
0.3,1,5,3,4781,4,152
0.3,1,6,0,1888,2,82
0.3,1,6,1,2477,3,87
0.3,1,6,2,3113,4,106
0.3,1,6,3,4518,4,150
0.3,1,7,0,243,0,14
0.3,1,7,1,312,1,16
0.3,1,7,2,372,1,18
0.3,1,7,3,531,1,25
0.3,1,8,0,163,0,8
0.3,1,8,1,210,1,11
0.3,1,8,2,245,1,13
0.3,1,8,3,338,1,16
0.3,1,9,0,89,0,7
0.3,1,9,1,115,0,8
0.3,1,9,2,172,0,11
0.3,1,9,3,242,1,13
0.3,1,10,0,29,0,5
0.3,1,10,1,44,0,6
0.3,1,10,2,172,0,11
0.3,1,10,3,242,1,13
0.3,2,2,0,5000,0,2
0.3,2,2,1,5000,0,1
0.3,2,2,2,5000,0,1
0.3,2,2,3,5000,0,1
0.3,2,3,0,5000,0,17
0.3,2,3,1,5000,0,8
0.3,2,3,2,5000,0,2
0.3,2,3,3,5000,0,2
0.3,2,4,0,5000,0,107
0.3,2,4,1,5000,0,97
0.3,2,4,2,5000,0,78
0.3,2,4,3,5000,0,45
0.3,2,5,0,5000,0,114
0.3,2,5,1,5000,0,101
0.3,2,5,2,5000,0,82
0.3,2,5,3,5000,0,82
0.3,2,6,0,3241,5,70
0.3,2,6,1,3766,5,79
0.3,2,6,2,5000,0,95
