min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.2,4,7,0,832,18,55
0.2,4,7,1,4901,20,59
0.2,4,7,2,5000,17,40
0.2,4,7,3,5000,0,0
0.2,4,8,0,155,16,34
0.2,4,8,1,514,17,36
0.2,4,8,2,800,19,40
0.2,4,8,3,1569,20,44
0.2,4,9,0,82,11,19
0.2,4,9,1,436,11,20
0.2,4,9,2,699,12,23
0.2,4,9,3,1432,13,26
0.2,4,10,0,25,6,9
0.2,4,10,1,30,6,9
0.2,4,10,2,39,6,9
0.2,4,10,3,48,7,10
0.2,5,2,0,5000,0,0
0.2,5,2,1,5000,0,0
0.2,5,2,2,5000,0,0
0.2,5,2,3,5000,0,0
0.2,5,3,0,5000,0,0
0.2,5,3,1,5000,0,0
0.2,5,3,2,5000,0,0
0.2,5,3,3,5000,0,0
0.2,5,4,0,5000,0,0
0.2,5,4,1,5000,0,0
0.2,5,4,2,5000,0,0
0.2,5,4,3,5000,0,0
0.2,5,5,0,5000,35,97
0.2,5,5,1,5000,0,0
0.2,5,5,2,5000,0,0
0.2,5,5,3,5000,0,0
0.2,5,6,0,4252,33,89
0.2,5,6,1,5000,0,0
0.2,5,6,2,5000,0,0
0.2,5,6,3,5000,0,0
0.2,5,7,0,1556,23,57
0.2,5,7,1,5000,0,1
0.2,5,7,2,5000,0,0
0.2,5,7,3,5000,0,0
0.2,5,8,0,235,13,33
0.2,5,8,1,1199,14,38
0.2,5,8,2,1557,16,
0.2,5,8,3,3332,16,
0.2,5,9,0,109,7,
0.2,5,9,1,1034,9,
0.2,5,9,2,1326,12,
0.2,5,9,3,3021,13,
0.2,5,10,0,65,7,
0.2,5,10,1,422,9,
0.2,5,10,2,643,12,
0.2,5,10,3,-1,12,
0.3,1,2,0,5000,0,0
0.3,1,2,1,5000,0,0
0.3,1,2,2,5000,0,0
0.3,1,2,3,5000,0,0
0.3,1,3,0,5000,0,0
0.3,1,3,1,5000,0,0
0.3,1,3,2,5000,0,0
0.3,1,3,3,5000,0,0
0.3,1,4,0,2375,24,82
0.3,1,4,1,5000,24,84
0.3,1,4,2,5000,23,75
0.3,1,4,3,5000,18,47
0.3,1,5,0,1135,24,80
0.3,1,5,1,2550,24,82
0.3,1,5,2,2684,24,82
0.3,1,5,3,4166,30,91
0.3,1,6,0,1135,24,80
0.3,1,6,1,2550,24,82
0.3,1,6,2,2684,24,82
0.3,1,6,3,4160,30,91
