min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.3,5,3,0,5000,0,0
0.3,5,3,1,5000,0,0
0.3,5,3,2,5000,0,0
0.3,5,3,3,5000,0,0
0.3,5,4,0,5000,0,0
0.3,5,4,1,5000,0,0
0.3,5,4,2,5000,0,0
0.3,5,4,3,5000,0,0
0.3,5,5,0,5000,0,2
0.3,5,5,1,5000,0,0
0.3,5,5,2,5000,0,0
0.3,5,5,3,5000,0,0
0.3,5,6,0,5000,0,10
0.3,5,6,1,5000,0,3
0.3,5,6,2,5000,0,3
0.3,5,6,3,5000,0,0
0.3,5,7,0,887,3,14
0.3,5,7,1,1839,3,15
0.3,5,7,2,2120,3,15
0.3,5,7,3,5000,3,15
0.3,5,8,0,361,3,5
0.3,5,8,1,787,3,10
0.3,5,8,2,932,3,11
0.3,5,8,3,2354,3,11
0.3,5,9,0,93,3,3
0.3,5,9,1,301,3,7
0.3,5,9,2,374,3,9
0.3,5,9,3,765,3,9
0.3,5,10,0,27,2,2
0.3,5,10,1,42,2,4
0.3,5,10,2,61,2,6
0.3,5,10,3,80,2,6
0.4,1,2,0,5000,0,0
0.4,1,2,1,5000,0,0
0.4,1,2,2,5000,0,0
0.4,1,2,3,5000,0,0
0.4,1,3,0,5000,0,23
0.4,1,3,1,5000,0,4
0.4,1,3,2,5000,0,2
0.4,1,3,3,5000,0,0
0.4,1,4,0,3908,6,34
0.4,1,4,1,5000,0,19
0.4,1,4,2,5000,0,17
0.4,1,4,3,5000,0,4
0.4,1,5,0,1679,5,30
0.4,1,5,1,2822,5,30
0.4,1,5,2,2857,5,30
0.4,1,5,3,5000,1,21
0.4,1,6,0,1679,5,30
0.4,1,6,1,2822,5,30
0.4,1,6,2,2857,5,30
0.4,1,6,3,5000,1,21
0.4,1,7,0,1679,5,30
0.4,1,7,1,2387,5,30
0.4,1,7,2,2418,5,30
0.4,1,7,3,4228,5,30
0.4,1,8,0,898,3,19
0.4,1,8,1,1167,3,19
